Town_Point,Date_Creat,Date_Retir,Town_Pid,Xcoord,Ycoord,Wkt_Geom,Town_Class,Town_Name,Population,State_Pid,Qld_Town_Point_Shp_Town_Point,Qld_Town_Point_Shp_Date_Creat
TWP31154,31/07/2013,,TWN31154,153.1273,-27.08295,NULL,0,Sandstone Point,3895,3,TWP31154,7/31/2013
TWP31155,31/07/2013,,TWN31155,152.9507,-26.89771,NULL,1,Glass House Mountain,3504,3,TWP31155,7/31/2013
TWP31156,31/07/2013,,TWN31156,152.954,-26.85293,NULL,1,Beerwah,4340,3,TWP31156,7/31/2013
TWP31157,31/07/2013,,TWN31157,152.9652,-26.80826,NULL,1,Landsborough,3706,3,TWP31157,7/31/2013
TWP31158,31/07/2013,,TWN31158,152.778,-26.95557,NULL,1,Woodford,2350,3,TWP31158,7/31/2013
TWP31159,31/07/2013,,TWN31159,152.9568,-26.69113,NULL,0,Palmwoods,4081,3,TWP31159,7/31/2013
TWP31160,31/07/2013,,TWN31160,152.9666,-26.66148,NULL,0,Woombye,2775,3,TWP31160,7/31/2013
TWP31161,31/07/2013,,TWN31161,152.8215,-27.19792,NULL,1,Dayboro,1692,3,TWP31161,7/31/2013
TWP31162,31/07/2013,,TWN31162,152.5023,-27.3916,NULL,1,Coominya,561,3,TWP31162,7/31/2013
TWP31163,31/07/2013,,TWN31163,152.1042,-26.88722,NULL,2,Blackbutt,618,3,TWP31163,7/31/2013
TWP31164,31/07/2013,,TWN31164,153.3629,-27.78179,NULL,0,Jacobs Well,1546,3,TWP31164,7/31/2013
TWP31165,31/07/2013,,TWN31165,153.5377,-27.43022,NULL,3,Point Lookout,677,3,TWP31165,7/31/2013
TWP31166,31/07/2013,,TWN31166,152.9513,-26.47643,NULL,1,Eumundi,790,3,TWP31166,7/31/2013
TWP31167,31/07/2013,,TWN31167,152.9089,-26.41875,NULL,1,Cooroy,2692,3,TWP31167,7/31/2013
TWP31168,31/07/2013,,TWN31168,143.1999,-13.9448,NULL,4,Coen,311,3,TWP31168,7/31/2013
TWP31169,31/07/2013,,TWN31169,142.3893,-10.89279,NULL,4,Bamaga,1044,3,TWP31169,7/31/2013
TWP31170,31/07/2013,,TWN31170,142.2167,-10.5804,NULL,4,Thursday Island,2610,3,TWP31170,7/31/2013
TWP31171,31/07/2013,,TWN31171,150.5098,-24.39602,NULL,2,Biloela,5808,3,TWP31171,7/31/2013
TWP31172,31/07/2013,,TWN31172,152.0449,-25.50952,NULL,2,Biggenden,682,3,TWP31172,7/31/2013
TWP31173,31/07/2013,,TWN31173,152.8443,-28.08068,NULL,1,Kooralbyn,1372,3,TWP31173,7/31/2013
TWP31174,31/07/2013,,TWN31174,151.6074,-25.62451,NULL,2,Gayndah,1646,3,TWP31174,7/31/2013
TWP31175,31/07/2013,,TWN31175,152.2765,-25.23536,NULL,1,Childers,1410,3,TWP31175,7/31/2013
TWP31176,31/07/2013,,TWN31176,152.2111,-25.15681,NULL,1,Cordalba,314,3,TWP31176,7/31/2013
TWP31177,31/07/2013,,TWN31177,145.6352,-16.82032,NULL,2,Kuranda,2159,3,TWP31177,7/31/2013
TWP31178,31/07/2013,,TWN31178,152.6935,-25.52726,NULL,1,Maryborough,21777,3,TWP31178,7/31/2013
TWP31179,31/07/2013,,TWN31179,152.982,-25.97598,NULL,1,Cooloola Village,2513,3,TWP31179,7/31/2013
TWP31180,31/07/2013,,TWN31180,152.6594,-27.45012,NULL,1,Fernvale,1821,3,TWP31180,7/31/2013
TWP31181,31/07/2013,,TWN31181,141.7435,-20.65701,NULL,4,Julia Creek,351,3,TWP31181,7/31/2013
TWP31182,31/07/2013,,TWN31182,147.5411,-23.73932,NULL,3,Willows Gemfields,108,3,TWP31182,7/31/2013
TWP31183,31/07/2013,,TWN31183,148.9686,-20.35179,NULL,3,Hamilton Island,1208,3,TWP31183,7/31/2013
TWP31184,31/07/2013,,TWN31184,141.7435,-15.47744,NULL,4,Kowanyama,1031,3,TWP31184,7/31/2013
TWP31185,31/07/2013,,TWN31185,145.5505,-17.16863,NULL,2,Tinaroo,280,3,TWP31185,7/31/2013
TWP31186,31/07/2013,,TWN31186,146.8092,-19.26508,NULL,2,Townsville,157748,3,TWP31186,7/31/2013
TWP31187,31/07/2013,,TWN31187,146.8651,-19.14853,NULL,2,Arcadia Bay,238,3,TWP31187,7/31/2013
TWP31188,31/07/2013,,TWN31188,145.4137,-16.3472,NULL,2,Wonga Beach,746,3,TWP31188,7/31/2013
TWP31189,31/07/2013,,TWN31189,149.2905,-21.29652,NULL,2,Hay Point,1470,3,TWP31189,7/31/2013
TWP31190,31/07/2013,,TWN31190,149.1545,-24.25325,NULL,3,Taylors Creek,320,3,TWP31190,7/31/2013
TWP31191,31/07/2013,,TWN31191,147.4799,-19.45506,NULL,2,Alva Beach,212,3,TWP31191,7/31/2013
TWP31192,31/07/2013,,TWN31192,146.3207,-26.23114,NULL,4,Gowrie,3728,3,TWP31192,7/31/2013
TWP31193,31/07/2013,,TWN31193,153.1285,-27.88138,NULL,1,Tamborine,474,3,TWP31193,7/31/2013
TWP31194,31/07/2013,,TWN31194,152.7984,-26.98884,NULL,1,D'Aguilar,830,3,TWP31194,7/31/2013
TWP31195,31/07/2013,,TWN31195,142.6217,-9.38044,NULL,4,Saibai Island,480,3,TWP31195,7/31/2013
TWP31196,31/07/2013,,TWN31196,153.4277,-27.99114,NULL,0,Gold Coast,478107,3,TWP31196,7/31/2013
TWP31197,31/07/2013,,TWN31197,152.9952,-26.28443,NULL,1,Boreen Point,264,3,TWP31197,7/31/2013
TWP31198,31/07/2013,,TWN31198,145.1102,-15.2971,NULL,3,Hope Vale,974,3,TWP31198,7/31/2013
TWP31199,31/07/2013,,TWN31199,143.3424,-12.78591,NULL,4,Lockhart River,463,3,TWP31199,7/31/2013
TWP31200,31/07/2013,,TWN31200,148.0248,-23.08513,NULL,3,Capella,926,3,TWP31200,7/31/2013
TWP31201,31/07/2013,,TWN31201,147.7193,-23.46006,NULL,3,Sapphire,623,3,TWP31201,7/31/2013
TWP31202,31/07/2013,,TWN31202,149.9719,-24.57498,NULL,2,Moura,1704,3,TWP31202,7/31/2013
TWP31203,31/07/2013,,TWN31203,150.9799,-23.8124,NULL,2,Mount Larcom,278,3,TWP31203,7/31/2013
TWP31204,31/07/2013,,TWN31204,150.3881,-23.64464,NULL,1,Mount Morgan,2558,3,TWP31204,7/31/2013
TWP31205,31/07/2013,,TWN31205,151.3685,-23.94867,NULL,1,Tannum Sands,9348,3,TWP31205,7/31/2013
TWP31206,31/07/2013,,TWN31206,151.2992,-25.59115,NULL,2,Mundubbera,1042,3,TWP31206,7/31/2013
TWP31207,31/07/2013,,TWN31207,151.9557,-24.99157,NULL,2,Gin Gin,898,3,TWP31207,7/31/2013
TWP31208,31/07/2013,,TWN31208,147.8441,-20.55341,NULL,3,Collinsville,1501,3,TWP31208,7/31/2013
TWP31209,31/07/2013,,TWN31209,147.4144,-19.66043,NULL,2,Home Hill,3027,3,TWP31209,7/31/2013
TWP31210,31/07/2013,,TWN31210,151.9262,-28.92345,NULL,2,Wallangarra,510,3,TWP31210,7/31/2013
TWP31211,31/07/2013,,TWN31211,146.5842,-25.79596,NULL,4,Augathella,329,3,TWP31211,7/31/2013
TWP31212,31/07/2013,,TWN31212,144.2683,-26.61502,NULL,4,Quilpie,574,3,TWP31212,7/31/2013
TWP31213,31/07/2013,,TWN31213,148.5812,-28.03888,NULL,3,St George,2647,3,TWP31213,7/31/2013
TWP31214,31/07/2013,,TWN31214,153.0307,-27.83265,NULL,1,Jimboomba,3600,3,TWP31214,7/31/2013
TWP31215,31/07/2013,,TWN31215,152.6824,-27.9978,NULL,1,Boonah,2474,3,TWP31215,7/31/2013
TWP31216,31/07/2013,,TWN31216,152.3549,-27.58999,NULL,1,Forest Hill,394,3,TWP31216,7/31/2013
TWP31217,31/07/2013,,TWN31217,152.1254,-27.54838,NULL,1,Helidon,713,3,TWP31217,7/31/2013
TWP31218,31/07/2013,,TWN31218,152.0311,-28.21745,NULL,1,Warwick,13376,3,TWP31218,7/31/2013
