"town_name","acute_time","acute_care_transit_location","acute_care_centre"
"Wamuran",60,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Ningi",63,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Woorim",76,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Sandstone Point",66,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Bongaree",73,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Toogoolawah",135,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Beachmere",59,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Surat",345,"Surat Hospital","Brisbane (PAH/RBWH)"
"Dalby",160,"Dalby Hospital","Brisbane (PAH/RBWH)"
"Dayboro",60,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Esk",139,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Crows Nest",168,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Tara",196,"Tara Hospital","Brisbane (PAH/RBWH)"
"Mount Glorious",66,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Samford Valley - Highvale",45,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Samford",40,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Mount Nebo",67,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Coominya",128,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Amity Point",120,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Meringandan West",154,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Meringandan",153,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Point Lookout",122,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Oakey",157,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Fernvale",122,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Lowood",65,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Murphys Creek",160,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Highfields",146,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Kingsthorpe",151,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Gowrie Junction",145,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Lockrose",75,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Dunwich",116,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Blue Mountain Heights",142,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Gowrie Mountain",146,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Brightview",68,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Cecil Plains",213,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Minden Village",64,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Kensington Grove - Regency Downs",128,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Glenore Grove",128,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Helidon",153,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Prince Henry Heights",138,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Withcott",141,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Placid Hills",127,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Gatton",127,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Toowoomba",133,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Coochiemudlo Island",114,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Marburg",55,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Grantham",126,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Plainland",67,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Forest Hill",73,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Macleay Island",116,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Walloon",55,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Westbrook",145,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Goombungee",173,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Lamb Island",118,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Thagoona",57,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Laidley",127,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Rosewood",60,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Mount Cotton",47,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Laidley Heights",127,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Wyreema",152,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Ripley",47,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Southbrook",154,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Russell Island",118,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Deebing Heights",54,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Cambooya",158,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Pittsworth",160,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Cabbage Tree Point",46,"Gold Coast University Hospital","Gold Coast University Hospital"
"Logan Village",58,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Jacobs Well",41,"Gold Coast University Hospital","Gold Coast University Hospital"
"Greenmount",155,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Peak Crossing",65,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Harrisville",75,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Jimboomba - West",55,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Jimboomba",53,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Mundoolun",65,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Cedar Grove",58,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Millmerran",160,"Millmerran Hospital","Brisbane (PAH/RBWH)"
"Cedar Vale",58,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Tamborine",61,"Gold Coast University Hospital","Gold Coast University Hospital"
"Eagle Heights",49,"Gold Coast University Hospital","Gold Coast University Hospital"
"Clifton",164,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"Maudsland",32,"Gold Coast University Hospital","Gold Coast University Hospital"
"Kalbar",129,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Gleneagle",66,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Boyland",55,"Gold Coast University Hospital","Gold Coast University Hospital"
"Mount Tamborine",45,"Gold Coast University Hospital","Gold Coast University Hospital"
"Mount Nathan",41,"Gold Coast University Hospital","Gold Coast University Hospital"
"Aratula",80,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Beaudesert",75,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Gold Coast",26,"Gold Coast University Hospital","Gold Coast University Hospital"
"Thargomindah",375,"Thargomindah Hospital","Brisbane (PAH/RBWH)"
"Boonah",129,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Canungra",48,"Gold Coast University Hospital","Gold Coast University Hospital"
"Allora",173,"Toowoomba Hospital","Brisbane (PAH/RBWH)"
"St George",286,"St George Hospital","Brisbane (PAH/RBWH)"
"Lower Beechmont",45,"Gold Coast University Hospital","Gold Coast University Hospital"
"Cunnamulla",351,"Cunnamulla Hospital","Brisbane (PAH/RBWH)"
"Kooralbyn",135,"Gold Coast University Hospital","Gold Coast University Hospital"
"Beechmont",66,"Gold Coast University Hospital","Gold Coast University Hospital"
"Springbrook",61,"Gold Coast University Hospital","Gold Coast University Hospital"
"Yangan",154,"Warwick Hospital","Brisbane (PAH/RBWH)"
"Rathdowney",137,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"Warwick",149,"Warwick Hospital","Brisbane (PAH/RBWH)"
"Inglewood",183,"Inglewood Hospital","Brisbane (PAH/RBWH)"
"Goondiwindi",216,"Goondiwindi Hospital","Brisbane (PAH/RBWH)"
"Yelarbon",233,"Goondiwindi Hospital","Brisbane (PAH/RBWH)"
"Dirranbandi",345,"Dirranbandi Hospital","Brisbane (PAH/RBWH)"
"Stanthorpe",170,"Stanthorpe Hospital","Brisbane (PAH/RBWH)"
"Johnstone",357,"Dirranbandi Hospital","Brisbane (PAH/RBWH)"
"Smithfield",183,"Cairns Hospital","Townsville University Hospital"
"Texas",195,"Texas Hospital","Brisbane (PAH/RBWH)"
"Wallangarra",213,"Texas Hospital","Brisbane (PAH/RBWH)"
"Birdsville",489,"Birdsville Primary Health Centre","Brisbane (PAH/RBWH)"
"Durham",375,"Thargomindah Primary Health Centre","Brisbane (PAH/RBWH)"
"Hungerford",375,"Thargomindah Primary Health Centre","Brisbane (PAH/RBWH)"
"Brisbane",8,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
"RBWH",0,"Brisbane (PAH/RBWH)","Brisbane (PAH/RBWH)"
