"SA2_CODE16","median_time_to_acute_care","min_time_to_acute_care","max_time_to_acute_care","median_time_to_rehab_care","min_time_to_rehab_care","max_time_to_rehab_care","iTRAQI_index"
303021052,15.6651450728329,13.6895778072929,17.3350621841125,11.7840078713111,11.0677422986314,12.3810601651423,"1A"
303021053,15.7101241645551,12.8761170192968,19.7385795076176,12.4221399933231,11.2101182291033,14.0037482062522,"1A"
303021054,13.9088541204535,11.7476406939213,15.2360620010179,11.109873458537,10.3325561837296,11.5899036910981,"1A"
303021055,15.7704225238946,13.8397711755045,17.2366626814008,12.0126260016277,11.3775950942086,12.6355061619489,"1A"
303021056,20.090150834051,17.3108684823713,22.150813951427,13.9163041499532,12.7103114128633,14.905045311776,"1A"
303021057,20.3540681111037,17.5395174457764,21.8757096246406,13.7169082719747,12.6603855241192,14.2713783209061,"1A"
303021058,12.4171074709572,11.2206723275253,13.7049614942498,10.8027310522881,10.2160832400627,11.2672696995096,"1A"
303021059,16.6671294767541,14.8886262563061,19.579597657158,12.1300941032564,11.49847999962,13.324318883399,"1A"
303031060,29.252284050515,27.7952427488484,32.551382513267,17.0298153621592,16.3941241110185,18.3289470626457,"1A"
303031061,26.1593343751853,24.4956381403289,27.6047732090067,15.7793450609255,15.1807039565402,16.3779790762765,"1A"
303031062,26.8385254315514,25.3506186153853,30.3995548782834,16.6399906172224,16.2282509764873,18.2831508039495,"1A"
303031063,23.6255379786333,21.6123566985373,25.6735906884792,15.2919069571129,14.2156731892404,16.0090584393785,"1A"
303031064,33.4307002091045,30.3478741182648,45.3875534387374,19.2184627996394,17.6731430880585,24.7169754781647,"1A"
303031065,25.8960625186468,23.0455427452961,27.5285955139711,15.861573073998,14.6464988322207,16.4145837205018,"1A"
303031066,28.3697090795717,26.9039945049815,30.1174558246035,16.9300048529702,16.402233335825,17.8051070593956,"1A"
303041067,23.9008727212026,22.9239439399115,25.3439521522263,14.8650549359737,14.5055046570228,15.4265844259075,"1A"
303041068,18.9274016904137,17.4994751279719,20.4026809321175,12.9874283432151,12.4309025675851,13.5848663468735,"1A"
303041069,24.7085649248345,23.9010844283688,25.6410634885816,15.1890223653309,14.8622593147832,15.5326255217851,"1A"
303041070,21.7201654796695,19.8397415385905,24.1941337381656,14.0459235628691,13.3189911110627,15.0332223755694,"1A"
303041071,18.4907378980217,16.5608041677812,20.6988999355971,12.854721844628,12.1654216651903,13.768882667644,"1A"
303051072,30.1705044569872,28.5116939590692,31.7353600951005,17.6046844952153,16.8499560528419,18.3950554497891,"1A"
303051073,32.0920351768815,29.7626667966604,36.4678398010176,18.1951113029451,17.2946240368992,19.9006559355432,"1A"
303051074,32.4170322264674,25.2102675588649,35.5814106492485,19.4699169332883,15.8718752684177,20.7863419012413,"1A"
303051075,33.5156172720281,32.0356048786815,36.4143368025277,19.2408362052743,18.5502932762031,20.4395864487391,"1A"
303051076,25.515576438404,19.7201177095224,27.6260137850687,15.7267664742533,13.3968895009469,16.5699604933808,"1A"
303061077,32.2167399870507,31.5793889828973,33.3185387258981,18.1431302252941,17.8489689698763,18.5513537475981,"1A"
303061078,30.3351385014046,28.1211606834705,31.3382146978856,17.3674711289862,16.4860307003454,17.7668960618024,"1A"
303061079,26.8045774812929,24.990558944872,27.8680859147178,15.9800844018083,15.3233826531813,16.3859407043869,"1A"
