"id","town_name","x","y","centre","minutes"
1296,"Mapleton",152.8651,-26.62074,"Princess Alexandra Hospital",87.70604307
1297,"Nambour",152.9592,-26.62753,"Princess Alexandra Hospital",76.79058917
1298,"Kiels Mountain",153.001,-26.6527,"Princess Alexandra Hospital",73.93384239
1299,"Flaxton",152.8647,-26.65557,"Princess Alexandra Hospital",88.36588028
1300,"Miles",150.1857,-26.65858,"Princess Alexandra Hospital",226.7836894
1301,"Woombye",152.9666,-26.66148,"Princess Alexandra Hospital",73.31261009
1302,"Nanango",151.9992,-26.6713,"Princess Alexandra Hospital",141.80998964
1303,"Palmwoods",152.9568,-26.69113,"Princess Alexandra Hospital",77.72753536
1304,"Witta",152.8107,-26.70454,"Princess Alexandra Hospital",85.87598637
1305,"Chinchilla",150.628,-26.74202,"Princess Alexandra Hospital",194.30463383
1306,"Maleny",152.848,-26.75878,"Princess Alexandra Hospital",77.53711772
1307,"Mooloolah",152.9616,-26.76553,"Princess Alexandra Hospital",69.95815581
1308,"Glenview",153.0204,-26.76952,"Princess Alexandra Hospital",65.3536683
1309,"Jandowae",151.1101,-26.78068,"Princess Alexandra Hospital",172.48807088
1310,"Landsborough",152.9652,-26.80826,"Princess Alexandra Hospital",63.54971926
1311,"Yarraman",151.9796,-26.84046,"Princess Alexandra Hospital",126.20230891
1312,"Peachester",152.8871,-26.84242,"Princess Alexandra Hospital",68.20845497
1313,"Beerwah",152.954,-26.85293,"Princess Alexandra Hospital",61.02620774
1314,"Blackbutt",152.1042,-26.88722,"Princess Alexandra Hospital",115.35411794
1315,"Glass House Mountain",152.9507,-26.89771,"Princess Alexandra Hospital",56.19806444
1316,"Bell",151.4491,-26.93176,"Princess Alexandra Hospital",160.95182636
1317,"Beerburrum - North",152.957,-26.93545,"Princess Alexandra Hospital",50.73171927
1318,"Kilcoy",152.5638,-26.94019,"Princess Alexandra Hospital",78.94441216
1319,"Woodford",152.778,-26.95557,"Princess Alexandra Hospital",61.26798898
1320,"Beerburrum",152.955,-26.96138,"Princess Alexandra Hospital",50.87279392
1321,"D'Aguilar",152.7984,-26.98884,"Princess Alexandra Hospital",56.64819983
1322,"Delaneys Creek",152.7971,-27.00308,"Princess Alexandra Hospital",57.1357613
1323,"Donnybrook",153.0662,-27.00662,"Princess Alexandra Hospital",50.75301972
1324,"Toorbul",153.0991,-27.03348,"Princess Alexandra Hospital",52.28402483
1325,"Wamuran",152.8643,-27.04069,"Princess Alexandra Hospital",49.08591381
1326,"Ningi",153.1051,-27.06703,"Princess Alexandra Hospital",51.39521312
1327,"Woorim",153.2035,-27.07303,"Princess Alexandra Hospital",64.82187606
1328,"Sandstone Point",153.1273,-27.08295,"Princess Alexandra Hospital",54.89355953
1329,"Bongaree",153.1626,-27.08546,"Princess Alexandra Hospital",61.60741799
1330,"Toogoolawah",152.3753,-27.08821,"Princess Alexandra Hospital",82.62366994
1331,"Beachmere",153.0514,-27.12968,"Princess Alexandra Hospital",47.62596559
1332,"Surat",149.0666,-27.15384,"Princess Alexandra Hospital",293.75536059
1333,"Dalby",151.261,-27.18328,"Princess Alexandra Hospital",137.77687653
1334,"Dayboro",152.8215,-27.19792,"Princess Alexandra Hospital",49.10065275
1335,"Esk",152.4179,-27.23674,"Princess Alexandra Hospital",69.77455894
1336,"Crows Nest",152.0506,-27.26153,"Princess Alexandra Hospital",112.27559275
1337,"Tara",150.4556,-27.27772,"Princess Alexandra Hospital",197.56860279
1338,"Goombungee",151.8502,-27.30485,"Princess Alexandra Hospital",111.93125337
1339,"Mount Glorious",152.7701,-27.33397,"Princess Alexandra Hospital",48.40423478
1340,"Samford Valley - Highvale",152.8394,-27.36508,"Princess Alexandra Hospital",35.6333058
1341,"Samford",152.8849,-27.37146,"Princess Alexandra Hospital",30.56607673
1342,"Mount Nebo",152.7795,-27.39084,"Princess Alexandra Hospital",43.93633549
1343,"Coominya",152.5023,-27.3916,"Princess Alexandra Hospital",58.81420238
1344,"Amity Point",153.44,-27.39664,"Princess Alexandra Hospital",98.73954695
1345,"Meringandan West",151.8819,-27.41789,"Princess Alexandra Hospital",105.21845738
1346,"Meringandan",151.9132,-27.42327,"Princess Alexandra Hospital",103.2118672
1347,"Point Lookout",153.5377,-27.43022,"Princess Alexandra Hospital",101.57142405
1348,"Oakey",151.7183,-27.43202,"Princess Alexandra Hospital",104.5037502
